ID,image_url,Original_Post,Topic_ID_Reg,Keywords_Regular_Topic,Topic_Name_Regular,Topic_ID_Enr,Keywords_Enriched_Topic,Topic_Name_Enriched
A6,https://pbs.twimg.com/media/HAAT5XwXgAAOx39.jpg,"A sad day for Gaza, 32 martyrs until this moment, and the world is still watching and silent",9,"khamenei, killed, leader, supreme, ali, ayatollah, death, reports, khameneis, israeli",Rumors & Reports on Khamenei's Health/Death,1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War
A10,https://pbs.twimg.com/media/G_4rXH-awAAnU_2.jpg,یہ تعداد صرف ان افراد پر مشتمل ہے جو براہ راست فوجی کارروائی میں مارے گئے مزید جانیں International war conflict UN Trump Peace expressnews latestnews,4,"trump, president, donald, iran, war, military, america, congress, trumps, attack",US Politics & Trump's Stance on Iran,1,"gaza, hamas, israel, palestine, genocide, palestinians, palestinian, jews, react, ceasefire",Gaza Conflict & Israel-Hamas War
A74,https://pbs.twimg.com/media/HAJ1EwdWwAE8coU.jpg,This constant geoengineering of our weather is beyond depressing. I cant even bear to look at the grey blanket above us anymore,7,"water, nile, theme, climate, ethiopia, cooperation, eritrea, sea, autonomy, partnerships",Regional Cooperation & Nile Water Issues,36,"jamming, gps, spoofing, interference, map, magic, eastern, anomaly, hack, new",GPS Jamming & Spoofing Anomalies
A76,https://pbs.twimg.com/media/HACyV3EWQAAKEIX.jpg,I know that Florida is a lot warmer than most parts of the country right now but this is insane. I personally saw snow in Florida. If you dont believe in Climate Change or Global Warming this is proof,10,"oil, crude, prices, brent, price, chart, wti, usoil, barrel, spike",Global Crude Oil Market & Prices,36,"jamming, gps, spoofing, interference, map, magic, eastern, anomaly, hack, new",GPS Jamming & Spoofing Anomalies
A88,https://pbs.twimg.com/media/HAJ1RuJXQAE35sz.jpg,"80k likes on psychotic made up bullshit, I hate it here",0,"free, khamenei, على, fuck, love, allah, want, ردالظلم, comments, iran",Anti-Regime Sentiment   & Protests In Iran,6,"ukraine, russia, putin, russian, winter, zelensky, february, territory, talks, peace",Russia-Ukraine War & Peace Talks
A90,https://pbs.twimg.com/media/G_-RvZ6aoAA86un.jpg,They lied to you about Yugoslavia They lied to you about Iraq They lied to you about Libya They lied to you about Syria They lied to you about the Ukraine war They lied to you about Iran But you think theyre telling you the truth about Venezuela Wake up.,20,"activists, people, rights, iran, human, protesters, regime, organization, war, cia",Human Rights Advocacy & Iranian Protest Groups,4,"trump, president, donald, iran, war, military, america, congress, trumps, attack",US Politics & Trump's Stance on Iran
A116,https://pbs.twimg.com/media/HAJ7-OwWIAAO_yk.jpg,"Getting blamed for everything after just two games Funny how football works, two weeks ago he was a hero, now pundits are blaming him. No one can love like we do",4,"trump, president, donald, iran, war, military, america, congress, trumps, attack",US Politics & Trump's Stance on Iran,6,"ukraine, russia, putin, russian, winter, zelensky, february, territory, talks, peace",Russia-Ukraine War & Peace Talks
A119,https://pbs.twimg.com/media/HAJvevMXAAAhaH8.jpg,Brazil vs Morocco Tickets Brazil to use Egypt friendly to prepare for Morocco World Cup clash We are offering FIFA World Cup 2026 Tickets. Football admirers can get USA vs Paraguay Tickets through our trusted online ticketing marketplace.,8,"airspace, flights, airlines, closed, closure, flight, syrian, dubai, emirates, airport","Aviation, Flight Disruptions & Airspace",7,"water, nile, theme, climate, ethiopia, cooperation, eritrea, sea, autonomy, partnerships",Regional Cooperation & Nile Water Issues
A121,https://pbs.twimg.com/media/HAIhs49aMAAt7oJ.jpg,FIFA World Cup Tickets Top 5 Spanish Football Players Currently We are offering FIFA World Cup 2026 Tickets. SpainvsCaboVerdeTickets,31,"discount, المطار, valid, hotels, app, travel, flights, عبر, promotional, code",Travel Discounts & Flight Apps,35,"carrier, french, mediterranean, group, eastern, france, aircraft, baltic, strike, macron",French Naval Presence & Eastern Mediterranean
A123,https://pbs.twimg.com/media/G__mo6nXUAEAxg3.jpg,African football influencers dont know what Mmodi did to Mudau in the Nedbank Cup semi final.,7,"water, nile, theme, climate, ethiopia, cooperation, eritrea, sea, autonomy, partnerships",Regional Cooperation & Nile Water Issues,9,"khamenei, killed, leader, supreme, ali, ayatollah, death, reports, khameneis, israeli",Rumors & Reports on Khamenei's Health/Death
